|	To	|	Weight	|	Path
|	642	|	inf	|	[No path exists]
|	643	|	inf	|	[No path exists]
|	644	|	inf	|	[No path exists]
|	645	|	inf	|	[No path exists]
|	646	|	inf	|	[No path exists]
|	647	|	inf	|	[No path exists]
|	648	|	inf	|	[No path exists]
|	649	|	inf	|	[No path exists]
|	650	|	inf	|	[No path exists]
|	651	|	inf	|	[No path exists]
|	652	|	inf	|	[No path exists]
|	653	|	inf	|	[No path exists]
|	654	|	inf	|	[No path exists]
|	655	|	inf	|	[No path exists]
|	656	|	inf	|	[No path exists]
|	657	|	inf	|	[No path exists]
|	658	|	inf	|	[No path exists]
|	659	|	inf	|	[No path exists]
|	660	|	inf	|	[No path exists]
|	661	|	inf	|	[No path exists]
|	662	|	inf	|	[No path exists]
|	663	|	inf	|	[No path exists]
|	664	|	inf	|	[No path exists]
|	665	|	inf	|	[No path exists]
|	666	|	inf	|	[No path exists]
|	667	|	inf	|	[No path exists]
|	668	|	inf	|	[No path exists]
|	669	|	inf	|	[No path exists]
|	670	|	inf	|	[No path exists]
|	671	|	inf	|	[No path exists]
|	672	|	inf	|	[No path exists]
|	673	|	inf	|	[No path exists]
|	674	|	inf	|	[No path exists]
|	675	|	inf	|	[No path exists]
|	676	|	inf	|	[No path exists]
|	677	|	inf	|	[No path exists]
|	678	|	inf	|	[No path exists]
|	679	|	inf	|	[No path exists]
|	680	|	inf	|	[No path exists]
|	681	|	inf	|	[No path exists]
|	682	|	inf	|	[No path exists]
|	683	|	inf	|	[No path exists]
|	684	|	inf	|	[No path exists]
|	685	|	inf	|	[No path exists]
|	686	|	inf	|	[No path exists]
|	687	|	inf	|	[No path exists]
|	688	|	inf	|	[No path exists]
|	689	|	inf	|	[No path exists]
|	690	|	inf	|	[No path exists]
|	691	|	inf	|	[No path exists]
|	692	|	inf	|	[No path exists]
|	693	|	inf	|	[No path exists]
|	694	|	inf	|	[No path exists]
|	695	|	inf	|	[No path exists]
|	696	|	inf	|	[No path exists]
|	697	|	inf	|	[No path exists]
|	698	|	inf	|	[No path exists]
|	699	|	inf	|	[No path exists]
|	700	|	inf	|	[No path exists]
|	701	|	inf	|	[No path exists]
|	702	|	inf	|	[No path exists]
|	703	|	inf	|	[No path exists]
|	704	|	inf	|	[No path exists]
|	705	|	inf	|	[No path exists]
|	706	|	inf	|	[No path exists]
|	707	|	inf	|	[No path exists]
|	708	|	inf	|	[No path exists]
|	709	|	inf	|	[No path exists]
|	710	|	inf	|	[No path exists]
|	711	|	inf	|	[No path exists]
|	712	|	inf	|	[No path exists]
|	713	|	inf	|	[No path exists]
|	714	|	inf	|	[No path exists]
|	715	|	inf	|	[No path exists]
|	716	|	inf	|	[No path exists]
|	717	|	inf	|	[No path exists]
|	718	|	inf	|	[No path exists]
|	719	|	inf	|	[No path exists]
|	720	|	inf	|	[No path exists]
|	721	|	inf	|	[No path exists]
|	722	|	inf	|	[No path exists]
|	723	|	inf	|	[No path exists]
|	724	|	inf	|	[No path exists]
|	725	|	inf	|	[No path exists]
|	726	|	inf	|	[No path exists]
|	727	|	inf	|	[No path exists]
|	728	|	inf	|	[No path exists]
|	729	|	inf	|	[No path exists]
|	730	|	inf	|	[No path exists]
|	731	|	inf	|	[No path exists]
|	732	|	inf	|	[No path exists]
|	733	|	inf	|	[No path exists]
|	734	|	inf	|	[No path exists]
|	735	|	inf	|	[No path exists]
|	736	|	inf	|	[No path exists]
|	737	|	inf	|	[No path exists]
|	738	|	inf	|	[No path exists]
|	739	|	inf	|	[No path exists]
|	740	|	inf	|	[No path exists]
|	741	|	inf	|	[No path exists]
|	742	|	inf	|	[No path exists]
|	743	|	inf	|	[No path exists]
|	744	|	inf	|	[No path exists]
|	745	|	inf	|	[No path exists]
|	746	|	inf	|	[No path exists]
|	747	|	inf	|	[No path exists]
|	748	|	inf	|	[No path exists]
|	749	|	inf	|	[No path exists]
|	750	|	inf	|	[No path exists]
|	751	|	inf	|	[No path exists]
|	752	|	inf	|	[No path exists]
|	753	|	inf	|	[No path exists]
|	754	|	inf	|	[No path exists]
|	755	|	inf	|	[No path exists]
|	756	|	inf	|	[No path exists]
|	757	|	inf	|	[No path exists]
|	758	|	inf	|	[No path exists]
|	759	|	inf	|	[No path exists]
|	760	|	inf	|	[No path exists]
|	761	|	inf	|	[No path exists]
|	762	|	inf	|	[No path exists]
|	763	|	inf	|	[No path exists]
|	764	|	inf	|	[No path exists]
|	765	|	inf	|	[No path exists]
|	766	|	inf	|	[No path exists]
|	767	|	inf	|	[No path exists]
|	768	|	inf	|	[No path exists]
|	769	|	inf	|	[No path exists]
|	770	|	inf	|	[No path exists]
|	771	|	inf	|	[No path exists]
