|	To	|	Weight	|	Path
|	398	|	-111	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 317, 365, 398]
|	399	|	-108	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 303, 367, 399]
|	400	|	-97	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 324, 371, 400]
|	401	|	-106	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 292, 311, 358, 401]
|	402	|	-106	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 349, 350, 402]
|	403	|	-112	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 317, 365, 403]
|	404	|	-109	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 303, 367, 404]
|	405	|	-103	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 292, 311, 358, 405]
|	406	|	-103	|	[0, 71, 89, 116, 121, 159, 215, 226, 264, 292, 345, 369, 406]
|	407	|	-113	|	[0, 71, 104, 117, 149, 199, 220, 243, 257, 277, 285, 317, 365, 407]
|	408	|	-111	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 280, 339, 366, 408]
|	409	|	-110	|	[0, 71, 89, 116, 139, 157, 217, 228, 255, 265, 283, 314, 362, 409]
